CustomerName,Class,Long,Latt,Gallons
1166-1-10 DAVID WEBER OIL               ,All,-74.08466,40.836555,9344
1166-1-10 DAVID WEBER OIL               ,KENSOL NAPHTHAS               ,-74.08466,40.836555,4531
1166-1-10 DAVID WEBER OIL               ,IN PROCESS-BASE OILS          ,-74.08466,40.836555,2832
1166-1-10 DAVID WEBER OIL               ,BASE OILS                     ,-74.08466,40.836555,1981
1167-1-10 DAWSON-THOMPSON OIL CO.       ,All,-82.41924,38.421443,440
1167-1-10 DAWSON-THOMPSON OIL CO.       ,KENSOL NAPHTHAS               ,-82.41924,38.421443,440
117-1-10 ACCENT FUELS INC.             ,All,-79.14264,40.529621,322721
117-1-10 ACCENT FUELS INC.             ,FUEL OIL                      ,-79.14264,40.529621,306546
117-1-10 ACCENT FUELS INC.             ,GASOLINE                      ,-79.14264,40.529621,16175
"1175-901-10 DALMINE, SPA.                 ",All,12.49382305,42.76697922,1364
"1175-901-10 DALMINE, SPA.                 ",OCTG                          ,12.49382305,42.76697922,1364
1175-902-10 SIDERCA SAIC                  ,OCTG                          ,-64.85450745,-37.07196426,4339
1175-902-10 SIDERCA SAIC                  ,All,-64.85450745,-37.07196426,4339
1175-903-10 SILCOTUB SA                   ,All,48.87083054,38.26306152,479
1175-903-10 SILCOTUB SA                   ,OCTG                          ,48.87083054,38.26306152,479
1175-905-10 TENARIS QINGDAO STEEL PIPES   ,All,103.9754333,36.55308533,512
1175-905-10 TENARIS QINGDAO STEEL PIPES   ,OCTG                          ,103.9754333,36.55308533,512
1175-907-10 CONFAB INDUSTRIAL S.A.        ,OCTG                          ,-52.97311783,-10.81045246,1128
1175-907-10 CONFAB INDUSTRIAL S.A.        ,All,-52.97311783,-10.81045246,1128
1175-908-10 TENARIS TUBOCARIBE LTDA       ,OCTG                          ,-73.27796936,3.997606993,2393
1175-908-10 TENARIS TUBOCARIBE LTDA       ,All,-73.27796936,3.997606993,2393
118-1-10 ACCURATE ENERGY LLC           ,#6 FUEL OIL                   ,-75.16282,38.746207,117030
118-1-10 ACCURATE ENERGY LLC           ,All,-75.16282,38.746207,117030
"118-2-10 RIO ENERGY INTERNATIONAL,INC  ",#6 FUEL OIL                   ,-74.21692,40.652302,1259046
"118-2-10 RIO ENERGY INTERNATIONAL,INC  ",All,-74.21692,40.652302,1259046
1183-1-10 SANTINI EXPORT PACKING CORP.  ,All,-61.1640625,10.68574047,248
1183-1-10 SANTINI EXPORT PACKING CORP.  ,OCTG                          ,-61.1640625,10.68574047,248
1200-1-10 DAUBERT CHEMICAL CO.          ,All,-87.7738,41.787982,27921
1200-1-10 DAUBERT CHEMICAL CO.          ,RESINS                        ,-87.7738,41.787982,27921
1200-1-10 DAUBERT CHEMICAL CO.          ,All,-80.49896,41.230106,27921
1200-1-10 DAUBERT CHEMICAL CO.          ,RESINS                        ,-80.49896,41.230106,27921
"1205-1-10 DAXX, LLC                     ",KENSOL DISTILLATES HT         ,-95.51771,29.773994,19682
"1205-1-10 DAXX, LLC                     ",All,-95.51771,29.773994,19682
1211-901-10 DELTA CORPORATION             ,OCTG                          ,51.26026535,25.41362572,205
1211-901-10 DELTA CORPORATION             ,All,51.26026535,25.41362572,205
1215-10-10 PEREGRINE ADDITIVES & LUBES   ,All,-102.45367,31.86577,42
1215-10-10 PEREGRINE ADDITIVES & LUBES   ,OCTG                          ,-102.45367,31.86577,42
1215-1-10 DETERCO INC.                  ,OCTG                          ,-95.30726,29.742378,266
1215-1-10 DETERCO INC.                  ,All,-95.30726,29.742378,266
"1215-8-10 MOTION INDUSTRIES, INC.       ",OCTG                          ,-98.47132,33.916497,21
"1215-8-10 MOTION INDUSTRIES, INC.       ",All,-98.47132,33.916497,21
"1215-9-10 PRECISION PIPE RENTALS, LLC   ",OCTG                          ,-101.81691,32.09023,31
"1215-9-10 PRECISION PIPE RENTALS, LLC   ",All,-101.81691,32.09023,31
1228-2-10 DENNISON LUBE                 ,All,-71.79501,42.229543,2420
1228-2-10 DENNISON LUBE                 ,KENSOL DISTILLATES HT         ,-71.79501,42.229543,2420
1250-1-10 DOMINION CHEMICAL CO          ,All,-77.43063,37.21695,31553
1250-1-10 DOMINION CHEMICAL CO          ,KENDEX 0150 HT                ,-77.43063,37.21695,25036
1250-1-10 DOMINION CHEMICAL CO          ,WAXES                         ,-77.43063,37.21695,6517
1252-10-10 ELECTROLESS NICKEL PLATING    ,OCTG                          ,-90.4762,30.484785,42
1252-10-10 ELECTROLESS NICKEL PLATING    ,All,-90.4762,30.484785,42
1252-4-10 VOORHIES SUPPLY               ,All,-90.06903,29.878578,104
1252-4-10 VOORHIES SUPPLY               ,OCTG                          ,-90.06903,29.878578,104
1252-5-10 MOTION INDUSTRIES INC.        ,All,-98.47132,33.916497,83
1252-5-10 MOTION INDUSTRIES INC.        ,OCTG                          ,-98.47132,33.916497,83
1252-9-10 MOTION / VOORHIES SUPPLY      ,OCTG                          ,-90.7475,29.593377,42
1252-9-10 MOTION / VOORHIES SUPPLY      ,All,-90.7475,29.593377,42
1253-1-10 DOVER CHEMICAL                ,All,-87.50911,41.634385,1248
1253-1-10 DOVER CHEMICAL                ,RESINS                        ,-87.50911,41.634385,1248
1275-1-10 PERKINS PRODUCTS              ,All,-87.7738,41.787982,159351
1275-1-10 PERKINS PRODUCTS              ,KENSOL DISTILLATES HT         ,-87.7738,41.787982,155708
1275-1-10 PERKINS PRODUCTS              ,RESINS                        ,-87.7738,41.787982,3643
1275-2-10 DUBOIS CHEMICALS INC.         ,All,-84.39324,39.276271,53249
1275-2-10 DUBOIS CHEMICALS INC.         ,KENSOL DISTILLATES HT         ,-84.39324,39.276271,49555
1275-2-10 DUBOIS CHEMICALS INC.         ,RESINS                        ,-84.39324,39.276271,3694
"128-1-10 ADVANCED CHEMICAL SOLUTIONS,IN",All,-81.77006,40.835059,19478
"128-1-10 ADVANCED CHEMICAL SOLUTIONS,IN",KENDEX 0150 HT                ,-81.77006,40.835059,9760
"128-1-10 ADVANCED CHEMICAL SOLUTIONS,IN",BASE OILS                     ,-81.77006,40.835059,5793
"128-1-10 ADVANCED CHEMICAL SOLUTIONS,IN",KENSOL DISTILLATES HT         ,-81.77006,40.835059,3925
1289-5-10 BLACKHAWK INDUSTRIAL -        ,OCTG                          ,-96.07999,30.374501,248
1289-5-10 BLACKHAWK INDUSTRIAL -        ,All,-96.07999,30.374501,248
